#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8612.711410282036	-8604.916541404078	-7.794868877958134	-8604.916541404078	2.4493758557856564	-7.794868877958134	1.0
1000	-8194.789932260514	-8189.7101784772185	-5.079753783295814	-8189.7101784772185	0.9788194362548119	-5.079753783295814	0.9690974047623956
2000	-8194.81875542944	-8187.717424425831	-7.10133100360841	-8187.717424425831	1.0457524766912019	-7.10133100360841	1.8064256272202484
3000	-8197.94920202327	-8189.677481774147	-8.271720249122815	-8189.677481774147	1.0477158098841304	-8.271720249122815	2.276615592972715
4000	-8193.953820671119	-8187.789313231791	-6.164507439327039	-8187.789313231791	1.0230571958429537	-6.164507439327039	1.5514659646436344
5000	-8193.96654733438	-8188.84341136149	-5.123135972888179	-8188.84341136149	0.973385936553651	-5.123135972888179	0.9234962559508918
6000	-8195.547219012535	-8190.048107320656	-5.499111691878356	-8190.048107320656	1.0527269578504437	-5.499111691878356	0.7781984889874499
7000	-8194.372699481442	-8188.540932191091	-5.831767290351206	-8188.540932191091	1.0087846877342965	-5.831767290351206	0.614350323126706
8000	-8193.038733623558	-8186.971444776511	-6.067288847047437	-8186.971444776511	0.976050284234706	-6.067288847047437	1.6217527327140717
9000	-8195.905177363094	-8190.472023272979	-5.433154090114943	-8190.472023272979	1.0128191779132019	-5.433154090114943	0.8422960422066492
10000	-8195.736703570505	-8188.9010080134385	-6.835695557065954	-8188.9010080134385	1.0150484175055465	-6.835695557065954	0.3814923129832675
11000	-8196.006964474516	-8189.935685639622	-6.071278834895013	-8189.935685639622	1.0488880728481724	-6.071278834895013	0.5507514753417382
12000	-8194.021367768863	-8188.481304257952	-5.540063510910736	-8188.481304257952	0.9922442378708888	-5.540063510910736	1.138963899631549
13000	-8196.190790520068	-8190.723262279351	-5.467528240717446	-8190.723262279351	0.9964459901057042	-5.467528240717446	0.8615132723570308
