Sample	posterior	ESS(posterior)	likelihood	prior
0	-9894.039663768745	N	-9888.248248711308	-5.791415057435424
1000	-7061.934392895628	2.0	-7058.395866799292	-3.5385260963357617
2000	-7061.605878904826	3.0	-7057.1374654327865	-4.468413472039366
3000	-7064.275403595772	4.0	-7058.486790685028	-5.788612910744439
4000	-7063.012286353328	5.0	-7059.637265861491	-3.3750204918368256
5000	-7061.304959630672	6.0	-7058.013349517153	-3.291610113518433
6000	-7063.976436522052	7.0	-7059.962998373008	-4.013438149043445
7000	-7061.539502465302	8.0	-7058.600097566772	-2.9394048985294394
8000	-7060.527525775045	9.0	-7057.089750306948	-3.43777546809718
9000	-7067.446039278093	9.0	-7064.524197114513	-2.921842163579855
10000	-7060.800004866537	10.0	-7057.357101633877	-3.4429032326601674
11000	-7066.515263355336	11.0	-7062.754414657562	-3.7608486977745446
12000	-7064.242255504713	12.0	-7058.734646996599	-5.507608508114881
13000	-7061.724800651684	13.0	-7058.504654523526	-3.2201461281576287
14000	-7061.171979241708	14.0	-7057.449225617107	-3.7227536246007573
15000	-7061.989162290351	15.0	-7058.446326197752	-3.5428360925993725
16000	-7062.6301861805905	16.0	-7058.987809762781	-3.642376417810242
17000	-7064.881582468184	17.0	-7061.670468374956	-3.2111140932284155
18000	-7062.002412613456	18.0	-7058.191858575502	-3.8105540379537852
19000	-7064.187380928206	18.0	-7060.0038152423185	-4.183565685887723
20000	-7061.571383814807	19.0	-7057.24103703187	-4.330346782936175
21000	-7061.894804708376	20.0	-7058.233837742822	-3.6609669655539516
22000	-7064.746005883046	21.0	-7058.795057675945	-5.950948207100339
23000	-7066.533655384065	22.0	-7060.08467701681	-6.448978367254908
24000	-7062.658836877173	23.0	-7058.364565906614	-4.294270970558779
25000	-7063.082548820107	24.0	-7058.363769668436	-4.718779151670798
26000	-7070.8515427975735	25.0	-7062.935622136583	-7.915920660990162
27000	-7061.920909201385	26.0	-7057.730838670107	-4.190070531277886
28000	-7064.194636288398	27.0	-7058.930434014202	-5.264202274196177
