Sample	posterior	ESS(posterior)	likelihood	prior
0	-8838.266977056519	N	-8830.792922732464	-7.474054324055428
1000	-7244.9832066496865	2.0	-7240.664235633105	-4.318971016582025
2000	-7241.59672969731	3.0	-7237.990287552463	-3.606442144847097
3000	-7239.515368732942	4.0	-7237.239499994876	-2.2758687380662264
4000	-7243.55788812065	5.0	-7239.825828476181	-3.732059644468956
5000	-7240.941535571976	6.0	-7238.07439650359	-2.867139068385921
6000	-7241.834590915058	7.0	-7238.686796667439	-3.147794247618128
7000	-7246.936858244363	8.0	-7243.982917514306	-2.953940730057454
8000	-7240.488798092758	9.0	-7237.276492334197	-3.212305758560284
9000	-7242.113826930132	9.0	-7239.634013929803	-2.479813000329302
10000	-7240.618290683884	10.0	-7237.705706958738	-2.9125837251462405
11000	-7243.784417880654	11.0	-7238.946811633204	-4.837606247449544
12000	-7243.0699448801715	12.0	-7240.299902930479	-2.770041949692253
13000	-7243.186085540395	13.0	-7238.624655103573	-4.561430436821958
14000	-7241.665491827537	14.0	-7239.449285729348	-2.2162060981895353
15000	-7239.715201387582	15.0	-7237.482068196702	-2.2331331908796104
16000	-7245.182473205247	16.0	-7242.41535057163	-2.7671226336171593
17000	-7242.704822360542	17.0	-7239.593739059727	-3.111083300814417
18000	-7244.116701958931	18.0	-7239.903776923185	-4.21292503574612
19000	-7242.455133909544	18.0	-7239.195398690445	-3.2597352191000755
20000	-7241.6073415120145	19.0	-7239.160792466114	-2.446549045900377
21000	-7242.0380904572585	20.0	-7238.758023444518	-3.2800670127410356
22000	-7240.320507140543	21.0	-7237.700494558739	-2.62001258180411
23000	-7239.808461439046	22.0	-7238.3601275492965	-1.4483338897497373
24000	-7239.218233482312	22.3	-7237.6208356557945	-1.5973978265173205
25000	-7243.578741731706	24.0	-7240.882146972812	-2.69659475889416
26000	-7241.710477450402	25.0	-7240.414034161858	-1.296443288544456
27000	-7244.6481152635715	26.0	-7242.754470851949	-1.8936444116229412
28000	-7242.1839088886645	27.0	-7240.137419947227	-2.0464889414378744
29000	-7240.427100004515	27.0	-7238.882047905273	-1.545052099242028
30000	-7240.495960707031	28.0	-7237.562387741298	-2.933572965733503
31000	-7243.015788184677	29.0	-7240.765180944141	-2.250607240535852
32000	-7240.661563863775	30.0	-7237.436986973226	-3.2245768905487773
33000	-7247.742978575943	31.0	-7243.886168468164	-3.856810107778647
34000	-7245.56709542526	31.2	-7242.739519298864	-2.8275761263956114
35000	-7242.275095402767	32.4	-7239.778164667612	-2.4969307351548626
36000	-7239.67922043196	34.0	-7237.311766834686	-2.3674535972744133
37000	-7240.305949761419	35.0	-7238.953583473087	-1.3523662883320262
38000	-7240.010189672496	32.4	-7238.795285082719	-1.2149045897775368
39000	-7240.586799484045	29.8	-7239.386619402996	-1.2001800810488739
40000	-7242.17639848292	30.7	-7239.90530853742	-2.2710899455007163
41000	-7241.946439621637	31.4	-7240.63125233909	-1.3151872825474618
