"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6747.98241610219,6.27742292278104,2.7710302429274e-16,8.33690423058415
"2","GTR","relaxed_log_normal","yule",-6736.14538463836,5.56474620892603,3.83176364439765e-11,11.3650462795648
"3","GTR","strict","birth_death",-6747.89267275884,6.79685967063989,3.03121195063914e-16,10.350762728834
"4","GTR","strict","yule",-6734.58572941179,6.53995200688569,0.000000000182283924882328,9.19677434413241
"5","HKY","relaxed_log_normal","birth_death",-6718.10787529392,4.29826784595083,0.00261209812902497,9.69981640384613
"6","HKY","relaxed_log_normal","yule",-6733.47596160497,5.29095478527806,0.000000000552986343071934,11.8657307873605
"7","HKY","strict","birth_death",-6735.17105015443,6.39464747437382,0.000000000101518876411551,6.4766579782068
"8","HKY","strict","yule",-6729.10552949036,5.26535682704464,0.0000000437289406691416,8.85966555360654
"9","JC69","relaxed_log_normal","birth_death",-6712.53588307921,3.9747295050948,0.686870651276423,8.15161829013232
"10","JC69","relaxed_log_normal","yule",-6713.33066982723,3.60328149007045,0.31024405003709,5.41636958007209
"11","JC69","strict","birth_death",-6720.36745106073,5.58978933224406,0.000272689365336709,5.93106614504608
"12","TN93","relaxed_log_normal","birth_death",-6734.80158540915,5.90365573646055,0.000000000146893744806555,13.1121884943522
"13","TN93","relaxed_log_normal","yule",-6726.77218903694,5.20201509102724,0.000000450947350942356,5.68010495429123
"14","TN93","strict","birth_death",-6735.21116528555,6.22090030744334,9.75270352874718e-11,7.44408702288188
"15","TN93","strict","yule",-6730.1494120719,5.64270178990684,0.0000000153963052105458,4.92684454201238
