#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment" name="distribution" x="@birthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:twin_alignment" name="distribution">
#            <parameter id="kappa.s:twin_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:twin_alignment" name="distribution">
#            <parameter id="ucldStdev.c:twin_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:twin_alignment" kappa="@kappa.s:twin_alignment" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:twin_alignment" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin_alignment" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:twin_alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:twin_alignment">
#                <LogNormal S="@ucldStdev.c:twin_alignment" id="LogNormalDistributionModel.c:twin_alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:twin_alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-8343.276159384386	-8332.8190217482	-10.45713763618635	-8332.8190217482	3.6143155564587808	2.0	0.25	0.25	0.25	0.25	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	-9.411141747332865	1.0
100	-6494.166714954989	-6488.847823391464	-5.318891563525306	-6488.847823391464	0.79393264820904	2.0	0.25	0.25	0.25	0.25	0.3804844981464202	0.9992869316054542	0.08580330533372954	0.29402497730912114	-2.9232296736869534	0.9047723391554061
200	-6368.248354614149	-6363.42440539726	-4.82394921689	-6363.42440539726	1.075916258716368	1.129058009053713	0.25	0.25	0.25	0.25	0.37368888399904016	1.0538047983198755	0.07185730504696429	0.2649503560896474	-2.809243760746444	1.4835012977508228
300	-6360.519326929236	-6355.249952179055	-5.269374750180639	-6355.249952179055	1.075916258716368	1.129058009053713	0.25	0.25	0.25	0.25	0.37368888399904016	1.0319597643108365	0.07905116683478428	0.282503468772103	-3.2546692940370834	2.3529262182682795
400	-6364.640437441561	-6359.081904122122	-5.5585333194380935	-6359.081904122122	1.075916258716368	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.32375318640843903	1.0160241402446004	0.06341960011392857	0.2493904056734502	-3.7406245730458836	2.5604073778356864
500	-6363.356327488587	-6358.600418738135	-4.755908750452411	-6358.600418738135	1.075916258716368	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.17925073863864135	1.0350331657030687	0.010530965775698028	0.101834086000151	-3.5885642865259246	2.413133039519864
600	-6360.7415517349	-6355.754813255756	-4.986738479144568	-6355.754813255756	0.9540688047335003	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.17925073863864135	0.94637437330443	0.01418877404096702	0.1273068891378893	-3.819394015218082	2.903155946869855
700	-6364.1906966710385	-6356.628665842005	-7.56203082903351	-6356.628665842005	1.0813425237018954	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.25870597433853526	0.9183163643194736	0.019217796603059153	0.1494599748025502	-6.017710111346253	3.6984928335642606
800	-6362.9376622259515	-6355.929071081128	-7.008591144822984	-6355.929071081128	1.0610126418784267	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.24308850358040662	0.8675416103177247	0.021825901300378696	0.16506108067074687	-5.533832103276772	3.5650219426115846
900	-6363.816126816403	-6355.523435069984	-8.292691746419038	-6355.523435069984	1.1310772309936037	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.24308850358040662	0.9258102213372443	0.021469992226995697	0.1551297762003576	-6.817932704872826	3.9687425892513177
1000	-6361.4479130479485	-6354.224283061553	-7.223629986395337	-6354.224283061553	0.9033475431951778	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.2015849850347401	0.9837763839115359	0.015374720110651628	0.12678276047618012	-5.9437409203303515	4.486984064029561
1100	-6362.0780360267345	-6353.932952255428	-8.145083771306263	-6353.932952255428	1.0678290895584435	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.16701098835370048	0.9835414935437231	0.01309248228299057	0.11509016825568116	-7.042351174891258	4.486984064029561
1200	-6363.455193543451	-6356.756543522706	-6.698650020744958	-6356.756543522706	1.0678290895584435	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.15788695637432765	0.9825792627496274	0.01320123805277924	0.12069237242065364	-5.645673988137233	3.8329450374607745
1300	-6365.8628921328145	-6358.064734483431	-7.798157649383659	-6358.064734483431	1.0548648867940185	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.21702066629103858	0.918579759297481	0.021434201304458823	0.15214946114713807	-6.443881443257233	4.134449075652369
1400	-6360.767022890514	-6354.48456643515	-6.2824564553649065	-6354.48456643515	1.0548648867940185	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.17399947518745545	0.9251279229788456	0.009396453225336302	0.1044791786218075	-5.142551573183608	3.313743344863364
